0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/recebimento.png HTTP/1.1" 200 18597
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/relatorioItensVendidos.png HTTP/1.1" 200 87597
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/relatorioVendas.png HTTP/1.1" 200 45600
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/sair.png HTTP/1.1" 200 60321
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/crediario.png HTTP/1.1" 200 18708
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/financeiro.png HTTP/1.1" 200 76271
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/fabricantes.png HTTP/1.1" 200 24010
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/vendas.png HTTP/1.1" 200 343490
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/resources/images/troca.png HTTP/1.1" 200 36958
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/javax.faces.resource/logo.png.xhtml?ln=images HTTP/1.1" 200 349046
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
