127.0.0.1 - - [20/Feb/2017:11:33:09 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:11 -0300] "GET /Vendas/pages/vendas.xhtml HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:11 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:11 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml;jsessionid=DB6DB5CF99996E3B66FB6EF0B1CEAAE0?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:11 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=DB6DB5CF99996E3B66FB6EF0B1CEAAE0?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:11 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=DB6DB5CF99996E3B66FB6EF0B1CEAAE0?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:11 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml;jsessionid=DB6DB5CF99996E3B66FB6EF0B1CEAAE0?ln=primefaces&v=5.3 HTTP/1.1" 200 70787
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:12 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:12 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:12 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:12 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:12 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:25 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_26_2293f7_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:11:33:25 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
