127.0.0.1 - - [14/Mar/2017:02:11:55 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_fcdd4a_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:41 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_26_2293f7_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:41 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:43 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_5fa5e3_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:43 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_0a82eb_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:43 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/pages/cancelarVenda.xhtml HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:51 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:15:54 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_26_2293f7_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:02 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "POST /Vendas/pages/autenticacao.xhtml HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "POST /Vendas/pages/autenticacao.xhtml HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/pages/principal.xhtml HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/pages/principal.xhtml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/resources/images/cancelar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:03 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/pages/relatorioItensVendidos.xhtml HTTP/1.1" 200 11657
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_fcdd4a_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:08 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:09 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_26_2293f7_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:09 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/pages/produtos.xhtml HTTP/1.1" 200 24695
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_fcdd4a_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:19 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:23 -0300] "GET /Vendas/pages/financeiro.xhtml HTTP/1.1" 200 11537
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:23 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:23 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_fcdd4a_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:24 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:29 -0300] "GET /Vendas/pages/vendas.xhtml HTTP/1.1" 200 29417
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:29 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:29 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:16:29 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
