127.0.0.1 - - [13/Mar/2017:02:33:49 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:54 -0300] "GET /Vendas/pages/crediario.xhtml HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:54 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:54 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml;jsessionid=DB44115EA5B5D99ADC3C111A5D0AC81D?ln=primefaces&v=5.3 HTTP/1.1" 200 70787
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:54 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=DB44115EA5B5D99ADC3C111A5D0AC81D?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:54 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=DB44115EA5B5D99ADC3C111A5D0AC81D?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:55 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml;jsessionid=DB44115EA5B5D99ADC3C111A5D0AC81D?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:55 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:55 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:55 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:55 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:33:55 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:20 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_26_2293f7_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:20 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "POST /Vendas/pages/autenticacao.xhtml;jsessionid=DB44115EA5B5D99ADC3C111A5D0AC81D HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "POST /Vendas/pages/autenticacao.xhtml;jsessionid=DB44115EA5B5D99ADC3C111A5D0AC81D HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/pages/principal.xhtml HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/pages/principal.xhtml HTTP/1.1" 200 5233
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/pessoas.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/funcionarios.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/usuarios.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/clientes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/relatorioVendas.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/fabricantes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/cidades.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/estados.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/produtos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/relatorioCrediario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/recebimento.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/tipoDeVendas.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/crediario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/vendas.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/relatorioItensVendidos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/troca.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/sair.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:36:22 -0300] "GET /Vendas/resources/images/financeiro.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/pages/relatorioDeTiposDeVendas.xhtml HTTP/1.1" 200 14570
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/images/ui-icons_fcdd4a_256x240.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:06 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:08 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_26_2293f7_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:08 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_20_e69700_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:37:09 -0300] "POST /Vendas/pages/relatorioDeTiposDeVendas.xhtml HTTP/1.1" 200 9295
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:43 -0300] "GET /Vendas/pages/cancelarVenda.xhtml HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:43 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:43 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:43 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:43 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:44 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:44 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:44 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:44 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:55 -0300] "POST /Vendas/pages/autenticacao.xhtml HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:55 -0300] "GET /Vendas/pages/principal.xhtml HTTP/1.1" 200 5233
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:55 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:55 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:56 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:56 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:56 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:56 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:56 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:56 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:44:56 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:45:03 -0300] "GET /Vendas/pages/cancelarVenda.xhtml HTTP/1.1" 200 14550
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:45:04 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:45:04 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:45:04 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:45:04 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2017:02:45:04 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
